DATE,TIME,VISALBEDOCAL,SWIRALBEDOCAL,TIRALBEDOCAL,CAMTEMPERATURE,SWIRTEMPERATURE,AMBTEMPERATURE,EXTTEMPERATURE,WDS/PIX,HDRWDS,XTABXLATE,YTABXLATE,GXPOS,GYPOS,GXLGTH,GXNO.,GYLGTH,GYNO.,FXLGTH,FROMDEPTH,TODEPTH,DEPTHINTERVAL,TRAYTYPE,WVLSTART,WVLEND,TOPVIS,XSPEED,PIXRATE,PIXMM,TOTINTSEC/PIX,BASEHT,PROFILPOSOFFSMM,PROFILRATIO,CAMPOSOFFSMM,CAMXFOVMM,CAMYFOVMM,CAMREFEDGE,CAMHT,YINCRCORE,COREHT,YWIDTH,XSTEPSIZE,TWDSPIX,THDRWDS,TIROFFSMM,TRAYTIM,FFOFFS,FCONSTANT,FROFFS,SPEEDCAL,XACCEL,TWVLST,TWVLEND,CASEID,TRAYTYPE.1,FILENAME,EXECUTABLE,COMMENT,LOGGER,SPECSERNO,SWVERSION,TRAYNOTE
2/04/2019,8:45:23 AM,19340.44531,0.024171,0.0596453,21.4373379,18.1237469,19.9745865,0.0941158,536,5,255.5,555,0,50,383,8,160,3,1,0,1,0.004,65,380,2500,1032,48,12,4,0.084,30,100,64,-100,6.5,120,112,800,80,45,260,25,410,10,200,4355.397461,1.5,-1.5,-5.1999998,1.025,300,6000,14500,TESTROCKS ,TestRocks_puc ,D:\TestRocks\MRT Test Rocks 2019\04_Apr_2019\02Apr2019\TESTROCKS&1.SDS ,C:\HyLog3Exes\HyLog3CoreTIR7_3_74A.exe\SWIFTTable66absc.vi , ,23,26,7.3.74 , 
2/04/2019,8:53:31 AM,19323.83398,0.023961,0.0593422,21.761776,18.4099045,20.199091,0.093373,536,5,255.5,555,0,50,383,8,160,3,1,1,2,0.004,65,380,2500,1032,48,12,4,0.084,30,100,64,-100,6.5,120,112,800,80,45,260,25,410,10,200,4355.532715,1.5,-1.5,-5.1999998,1.025,300,6000,14500,TESTROCKS ,TestRocks_puc ,D:\TestRocks\MRT Test Rocks 2019\04_Apr_2019\02Apr2019\TESTROCKS&2.SDS ,C:\HyLog3Exes\HyLog3CoreTIR7_3_74A.exe\SWIFTTable66absc.vi , ,23,26,7.3.74 , 
2/04/2019,3:02:08 PM,19301.29688,0.0174184,0.0565357,25.2692719,23.0209579,23.7901287,0.1058869,536,5,255.5,555,0,50,383,8,160,3,1,2,3,0.004,65,380,2500,1032,48,12,4,0.084,30,100,64,-100,6.5,120,112,800,80,45,260,25,410,10,200,4361.674316,1.5,-1.5,-5.1999998,1.025,300,6000,14500,TESTROCKS ,TestRocks_puc ,D:\TestRocks\MRT Test Rocks 2019\04_Apr_2019\02Apr2019\TESTROCKS&3.SDS ,C:\HyLog3Exes\HyLog3CoreTIR7_3_74A.exe\SWIFTTable66absc.vi , ,23,26,7.3.74 , 
3/04/2019,9:28:38 AM,19464.55469,0.0246313,0.0603122,20.1873875,16.8269234,18.611227,0.1035989,536,5,255.5,555,0,50,383,8,160,3,1,0,1,0.004,65,380,2500,1032,48,12,4,0.084,30,100,64,-100,6.5,120,112,800,80,45,260,25,410,10,200,4362.296875,1.5,-1.5,-5.1999998,1.025,300,6000,14500,TESTROCKS ,TestRocks_puc ,D:\TestRocks\MRT Test Rocks 2019\04_Apr_2019\03Apr2019\TESTROCKS&1.SDS ,C:\HyLog3Exes\HyLog3CoreTIR7_3_74A.exe\SWIFTTable66absc.vi , ,23,26,7.3.74 , 
3/04/2019,3:52:56 PM,19433.47266,0.0186549,0.0571866,24.6765366,22.114603,23.2257309,0.0963634,536,5,255.5,555,0,50,383,8,160,3,1,1,2,0.004,65,380,2500,1032,48,12,4,0.084,30,100,64,-100,6.5,120,112,800,80,45,260,25,410,10,200,4368.698731,1.5,-1.5,-5.1999998,1.025,300,6000,14500,TESTROCKS ,TestRocks_puc ,D:\TestRocks\MRT Test Rocks 2019\04_Apr_2019\03Apr2019\TESTROCKS&2.SDS ,C:\HyLog3Exes\HyLog3CoreTIR7_3_74A.exe\SWIFTTable66absc.vi , ,23,26,7.3.74 , 
5/04/2019,9:40:47 AM,19470.71875,0.023382,0.0594995,22.7047806,18.7456207,20.7977581,0.1050837,536,5,255.5,555,0,50,383,8,160,3,1,0,1,0.004,65,380,2500,1032,48,12,4,0.084,30,100,64,-100,6.5,120,112,800,80,45,260,25,410,10,200,4369.554688,1.5,-1.5,-5.1999998,1.025,300,6000,14500,TESTROCKS ,TestRocks_puc ,D:\TestRocks\MRT Test Rocks 2019\04_Apr_2019\05Apr2019\TESTROCKS&1.SDS ,C:\HyLog3Exes\HyLog3CoreTIR7_3_74A.exe\SWIFTTable66absc.vi , ,23,26,7.3.74 , 
5/04/2019,5:52:03 PM,19357.81445,0.0172535,0.0565647,24.9215832,22.6287174,23.3884888,0.1024194,536,5,255.5,555,0,50,383,8,160,3,1,1,2,0.004,65,380,2500,1032,48,12,4,0.084,30,100,64,-100,6.5,120,112,800,80,45,260,25,410,10,200,4377.598633,1.5,-1.5,-5.1999998,1.025,300,6000,14500,TESTROCKS ,TestRocks_puc ,D:\TestRocks\MRT Test Rocks 2019\04_Apr_2019\05Apr2019\TESTROCKS&2.SDS ,C:\HyLog3Exes\HyLog3CoreTIR7_3_74A.exe\SWIFTTable66absc.vi , ,23,26,7.3.74 , 
9/04/2019,9:52:30 AM,19379.61328,0.0243415,0.0599901,20.9517002,17.4472828,19.2614918,0.1062126,536,5,255.5,555,0,50,383,8,160,3,1,0,1,0.004,65,380,2500,1032,48,12,4,0.084,30,100,64,-100,6.5,120,112,800,80,45,260,25,410,10,200,4378.478516,1.5,-1.5,-5.1999998,1.025,300,6000,14500,TESTROCKS ,TestRocks_puc ,D:\TestRocks\MRT Test Rocks 2019\04_Apr_2019\09Apr2019\TESTROCKS&1.SDS ,C:\HyLog3Exes\HyLog3CoreTIR7_3_74A.exe\SWIFTTable66absc.vi , ,23,26,7.3.74 , 
9/04/2019,3:01:42 PM,19317.26367,0.0197314,0.0575666,23.7512589,21.4667854,22.2791157,0.0988133,536,5,255.5,555,0,50,383,8,160,3,1,1,2,0.004,65,380,2500,1032,48,12,4,0.084,30,100,64,-100,6.5,120,112,800,80,45,260,25,410,10,200,4383.625488,1.5,-1.5,-5.1999998,1.025,300,6000,14500,TESTROCKS ,TestRocks_puc ,D:\TestRocks\MRT Test Rocks 2019\04_Apr_2019\09Apr2019\TESTROCKS&2.SDS ,C:\HyLog3Exes\HyLog3CoreTIR7_3_74A.exe\SWIFTTable66absc.vi , ,23,26,7.3.74 , 
12/04/2019,9:27:18 AM,19285.91211,0.0247,0.0605065,19.4487114,16.2667179,17.8701725,0.0996952,536,5,255.5,555,0,50,383,8,160,3,1,0,1,0.004,65,380,2500,1032,48,12,4,0.084,30,100,64,-100,6.5,120,112,800,80,45,260,25,410,10,200,4384.039063,1.5,-1.5,-5.1999998,1.025,300,6000,14500,TESTROCKS ,TestRocks_puc ,D:\TestRocks\MRT Test Rocks 2019\04_Apr_2019\12Apr2019\TESTROCKS&1.SDS ,C:\HyLog3Exes\HyLog3CoreTIR7_3_74A.exe\SWIFTTable66absc.vi , ,23,26,7.3.74 , 
12/04/2019,9:52:57 AM,19506.16016,0.0242984,0.0601344,21.0846462,17.4974461,19.493597,0.1007247,536,5,255.5,555,0,50,383,8,160,3,1,1,2,0.004,65,380,2500,1032,48,12,4,0.084,30,100,64,-100,6.5,120,112,800,80,45,260,25,410,10,200,4384.466797,1.5,-1.5,-5.1999998,1.025,300,6000,14500,TESTROCKS ,TestRocks_puc ,D:\TestRocks\MRT Test Rocks 2019\04_Apr_2019\12Apr2019\TESTROCKS&2.SDS ,C:\HyLog3Exes\HyLog3CoreTIR7_3_74A.exe\SWIFTTable66absc.vi , ,23,26,7.3.74 , 
12/04/2019,2:44:59 PM,19494.63086,0.0198448,0.0575932,24.0286655,21.300272,22.5154819,0.1065909,536,5,255.5,555,0,50,383,8,160,3,1,2,3,0.004,65,380,2500,1032,48,12,4,0.084,30,100,64,-100,6.5,120,112,800,80,45,260,25,410,10,200,4389.287109,1.5,-1.5,-5.1999998,1.025,300,6000,14500,TESTROCKS ,TestRocks_puc ,D:\TestRocks\MRT Test Rocks 2019\04_Apr_2019\12Apr2019\TESTROCKS&3.SDS ,C:\HyLog3Exes\HyLog3CoreTIR7_3_74A.exe\SWIFTTable66absc.vi , ,23,26,7.3.74 , 
30/04/2019,2:24:29 PM,19424.81836,0.0245413,0.0578528,22.7704258,20.4648056,21.199379,0.0975015,536,5,255.5,555,0,50,383,8,160,3,1,0,1,0.004,65,380,2500,1032,48,12,4,0.084,30,100,64,-100,6.5,120,112,800,80,45,260,25,410,10,200,4393.521484,1.5,-1.5,-5.1999998,1.025,300,6000,14500,TESTROCKS ,TestRocks_puc ,D:\TestRocks\MRT Test Rocks 2019\04_Apr_2019\30Apr2019\TESTROCKS&1.SDS ,C:\HyLog3Exes\HyLog3CoreTIR7_3_74A.exe\SWIFTTable66absc.vi , ,23,26,7.3.74 , 
30/04/2019,4:05:43 PM,19366.51563,0.0245714,0.0572788,23.95228,21.4484196,22.5252209,0.1053175,536,5,255.5,555,0,50,383,8,160,3,1,1,2,0.004,65,380,2500,1032,48,12,4,0.084,30,100,64,-100,6.5,120,112,800,80,45,260,25,410,10,200,4395.195801,1.5,-1.5,-5.1999998,1.025,300,6000,14500,TESTROCKS ,TestRocks_puc ,D:\TestRocks\MRT Test Rocks 2019\04_Apr_2019\30Apr2019\TESTROCKS&2.SDS ,C:\HyLog3Exes\HyLog3CoreTIR7_3_74A.exe\SWIFTTable66absc.vi , ,23,26,7.3.74 , 
