HyLogger,Scan_Date,Dataset_file,Mylar_1128.7,Mylar_1659.9,Mylar_1904.6,Mylar_2130.8,Mylar_2255.3,Mylar_2331.0,Mylar_2444.5,Pyro_ 951.0,Pyro_1235.0,Pyro_1394.0,Pyro_2082.0,Pyro_2168.0,Pyro_2322.0,Kaolin_1414.0,Kaolin_1913.0,Kaolin_2209.0,Talc_ 729.0,Talc_ 950.0,Talc_1279.0,Talc_1393.0,Talc_1532.0,Talc_2013.0,Talc_2132.0,Talc_2230.0,Talc_2313.0,Talc_2391.0,Talc_2467.0
HyLogger 3-5,2021-03-26 09:06:46,C:\Lingbo\IanLau\runtsg\working\TestRocks_1_tsgtray,1130.8,1659.6,1906.8,2131.1,2255.4,2331.6,2444.4, 952.5,1232.6,1393.4,   0.0,2166.7,2320.4,1414.4,1914.5,2208.0,   0.0, 951.1,1276.3,1392.1,1531.9,2012.2,2132.8,2228.7,2310.9,2387.9,2466.8
HyLogger 3-7,2021-10-13 13:30:18,C:\Lingbo\IanLau\runtsg\working\TestRocks_20211013_1_tsgtray,1129.9,1659.7,1906.6,2131.1,2250.9,2331.2,2444.7, 951.2,1232.5,1393.3,   0.0,2165.5,2319.5,   0.0,1902.2,2207.6,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
HyLogger 3-7,2021-10-13 15:25:02,C:\Lingbo\IanLau\runtsg\working\TestRocks_20211013_2_tsgtray,1130.0,1659.7,1906.6,2131.1,2250.7,2331.3,2444.8, 951.0,1232.5,1393.4,   0.0,2165.5,2319.6,   0.0,1900.4,2207.7,   0.0, 948.5,   0.0,1392.1,1531.8,2011.7,2131.3,2229.4,   0.0,2387.0,2466.8
HyLogger 3-5,2021-03-26 09:44:53,C:\Lingbo\IanLau\runtsg\working\TestRocks_2_tsgtray,   0.0,1659.7,1906.7,2131.0,2255.7,2331.7,2444.1, 952.4,1233.0,1393.5,2078.9,2166.8,2321.3,   0.0,1911.6,2207.9,   0.0, 951.2,   0.0,1392.2,1531.9,2012.2,2131.6,2228.7,   0.0,2388.0,2466.8
HyLogger 3-5,2021-03-26 14:32:20,C:\Lingbo\IanLau\runtsg\working\TestRocks_3_tsgtray,1130.4,1659.7,1906.9,2131.1,2254.7,2331.9,2444.5, 952.4,1232.6,1393.4,2078.5,2166.7,2320.6,1414.3,1912.3,2207.9,   0.0, 951.3,1276.3,1392.1,1531.9,2012.2,2132.8,2228.6,   0.0,2387.8,2466.8
HyLogger 3-5,2021-03-26 14:35:03,C:\Lingbo\IanLau\runtsg\working\TestRocks_4_tsgtray,1130.6,1659.7,1907.0,2131.0,2254.5,2331.8,2444.7, 952.2,1232.7,1393.4,2078.4,2166.5,2320.8,1414.2,1905.0,2207.9,   0.0,   0.0,   0.0,1392.1,1531.9,2012.2,2132.8,2228.7,   0.0,2388.4,2466.8
HyLogger 3-5,2021-04-09 09:28:58,C:\Lingbo\IanLau\runtsg\working\2021_Mar26_May04-20210409-TestRocks_1_tsgtray,   0.0,1659.8,1906.9,2131.0,2255.3,2331.6,2444.3, 952.7,1232.7,1393.3,2078.8,2166.8,2321.1,1414.3,1900.9,2207.9,   0.0, 951.2,   0.0,1392.1,1531.8,2012.2,2131.5,2228.6,   0.0,2387.9,2466.8
HyLogger 3-5,2021-04-09 09:31:39,C:\Lingbo\IanLau\runtsg\working\2021_Mar26_May04-20210409-TestRocks_2_tsgtray,   0.0,1659.7,1901.1,2131.0,2255.7,2331.7,2444.2, 952.5,1232.6,1393.4,2078.4,2166.6,2321.7,1414.2,1911.4,2207.8,   0.0, 951.2,1276.3,1392.1,1531.9,2012.2,2132.7,2228.7,   0.0,2388.1,2466.8
HyLogger 3-5,2021-04-09 14:17:01,C:\Lingbo\IanLau\runtsg\working\2021_Mar26_May04-20210409-TestRocks_3_tsgtray,1130.1,1659.7,1906.7,2131.1,2254.9,2331.7,2444.7, 952.2,1232.5,1393.3,2078.5,2166.7,2320.9,1414.3,1913.5,2207.9,   0.0,   0.0,   0.0,1392.1,1531.9,2012.2,2132.9,2228.7,   0.0,2388.0,2466.9
HyLogger 3-5,2021-04-09 14:19:53,C:\Lingbo\IanLau\runtsg\working\2021_Mar26_May04-20210409-TestRocks_4_tsgtray,   0.0,1659.7,1906.7,2131.1,2254.7,2331.8,2444.6, 952.2,1232.5,1393.3,2078.6,2166.6,2320.9,1414.3,1911.8,2208.1,   0.0, 951.2,   0.0,1392.2,1531.9,2012.2,2132.4,2228.7,   0.0,2388.1,2466.8
