HyLogger,Scan_Date,Dataset_file,6245_mean,6245_stddev,6698_mean,6698_stddev,8661_mean,8661_stddev,9353_mean,9353_stddev,9724_mean,9724_stddev,11028_mean,11028_stddev,11875_mean,11875_stddev,13228_mean,13228_stddev,samples
HyLogger 3-5,2021-03-26 09:06:46,C:\Lingbo\IanLau\runtsg\working\TestRocks_1_tsgtray_tir,6249.73,1.0084,6701.13,1.05901,8657,1.32195,9350.02,0.989982,9727.54,1.12699,11018.5,0.817401,11873.5,1.60634,13215,5.89491,5
HyLogger 3-7,2021-10-13 13:30:18,C:\Lingbo\IanLau\runtsg\working\TestRocks_20211013_1_tsgtray_tir,6250.05,0.448959,6701.83,0.652568,8659.5,0.0946411,9351.97,0.528703,9728.8,0.638772,11019,1.4824,11877.6,1.13897,13176.8,39.8407,7
HyLogger 3-7,2021-10-13 15:25:02,C:\Lingbo\IanLau\runtsg\working\TestRocks_20211013_2_tsgtray_tir,6250.23,0.606363,6701.96,0.824075,8659.67,1.0828,9352.17,0.57435,9729.05,1.1047,11019.3,1.31825,11878.1,0.600552,13192.9,36.0251,7
HyLogger 3-5,2021-03-26 09:44:53,C:\Lingbo\IanLau\runtsg\working\TestRocks_2_tsgtray_tir,6249.87,0.701668,6701.21,0.629656,8657.16,1.22795,9350.35,0.766835,9727.68,0.787616,11018.8,0.408523,11873.6,1.9762,13215,5.89491,5
HyLogger 3-5,2021-03-26 14:32:20,C:\Lingbo\IanLau\runtsg\working\TestRocks_3_tsgtray_tir,6249.74,1.07807,6701.15,0.410047,8657.19,1.11425,9350.17,0.93654,9727.63,0.649861,11018.6,0.968929,11873.8,1.42399,13215,5.89491,5
HyLogger 3-5,2021-03-26 14:35:03,C:\Lingbo\IanLau\runtsg\working\TestRocks_4_tsgtray_tir,6249.78,0.514452,6701.18,0.557654,8657.21,0.865107,9350.17,0.660168,9727.67,0.335196,11018.6,0.820583,11873.6,1.21186,13217.5,7.01338,5
HyLogger 3-5,2021-03-26 09:06:46,C:\Lingbo\IanLau\runtsg\working\TestRocks_1_tsgtray_tir,6249.73,1.0084,6701.13,1.05901,8657,1.32195,9350.02,0.989982,9727.54,1.12699,11018.5,0.817401,11873.5,1.60634,13215,5.89491,5
HyLogger 3-5,2021-03-26 09:44:53,C:\Lingbo\IanLau\runtsg\working\TestRocks_2_tsgtray_tir,6249.87,0.701668,6701.21,0.629656,8657.16,1.22795,9350.35,0.766835,9727.68,0.787616,11018.8,0.408523,11873.6,1.9762,13215,5.89491,5
HyLogger 3-5,2021-03-26 14:32:20,C:\Lingbo\IanLau\runtsg\working\TestRocks_3_tsgtray_tir,6249.74,1.07807,6701.15,0.410047,8657.19,1.11425,9350.17,0.93654,9727.63,0.649861,11018.6,0.968929,11873.8,1.42399,13215,5.89491,5
HyLogger 3-5,2021-03-26 14:35:03,C:\Lingbo\IanLau\runtsg\working\TestRocks_4_tsgtray_tir,6249.78,0.514452,6701.18,0.557654,8657.21,0.865107,9350.17,0.660168,9727.67,0.335196,11018.6,0.820583,11873.6,1.21186,13217.5,7.01338,5
